x,y,label
-10.420753,-10.420753,Shake It Up
7.2894363,7.2894363,The Chronicles of Narnia: Prince Caspian
6.436066,6.436066,The Lion King 1 1/2
33.64334,33.64334,DuckTales
-17.762999,-17.762999,Teen Beach Movie
15.25232,15.25232,Chip 'n Dale's Rescue Rangers
-5.9349127,-5.9349127,X-Men
-6.8038034,-6.8038034,Inside Pixar
-9.578693,-9.578693,Fantastic Four
3.747043,3.747043,Safety
14.059181,14.059181,Cinderella III: A Twist in Time
-2.3819413,-2.3819413,Calling All T.O.T.S. (Shorts)
-13.704093,-13.704093,Sydney To The Max
-1.457706,-1.457706,Invisible Sister
11.545645,11.545645,Lamp Life
21.326597,21.326597,Planes: Fire & Rescue
-4.769209,-4.769209,The Mighty Ducks: Game Changers
16.279228,16.279228,Flora & Ulysses
-5.1761966,-5.1761966,The Mighty Ducks
-32.855015,-32.855015,Tinker Bell and the Great Fairy Rescue
65.935265,65.935265,John Carter
136.43112,136.43112,Prince of Persia: The Sands of Time
-6.3812966,-6.3812966,A Wrinkle in Time
-5.0044036,-5.0044036,Upside-Down Magic
26.850807,26.850807,Handy Manny
-7.638447,-7.638447,Wizards of Waverly Place: The Movie
-0.12355489,-0.12355489,Dory's Reef Cam
-7.0305552,-7.0305552,Fantastic Four
-9.568853,-9.568853,The Avengers: Earth's Mightiest Heroes
-25.772333,-25.772333,Far Away From Raven’s Home
-27.29522,-27.29522,Marvel's Behind the Mask
-14.266175,-14.266175,Bedtime Stories
10.307387,10.307387,Gigantosaurus
-2.515034,-2.515034,Peter Pan: Return to Never Land
-23.162462,-23.162462,Leroy & Stitch
-7.235443,-7.235443,Dog With a Blog
2.090422,2.090422,Artemis Fowl
-4.170116,-4.170116,Big City Greens (Shorts)
-16.664864,-16.664864,Lizzie McGuire
-4.8695655,-4.8695655,Fantastic Four: Rise of the Silver Surfer
-1.8675971,-1.8675971,Disney Junior Music Lullabies
5.3605127,5.3605127,Let it Shine
-25.594084,-25.594084,The Muppet Show
38.99724,38.99724,Pete's Dragon
-12.43217,-12.43217,Big Hero 6 The Series
-8.84843,-8.84843,Avengers Assemble
8.003804,8.003804,Beverly Hills Chihuahua
-16.321814,-16.321814,Princess Protection Program
-4.4399066,-4.4399066,The Imagineering Story
-17.866484,-17.866484,Spider-Man
-7.572963,-7.572963,Bizaardvark
-0.47347263,-0.47347263,Mickey Go Local
24.301088,24.301088,101 Dalmatians II: Patch's London Adventure
17.924356,17.924356,Chicken Squad
10.108192,10.108192,Oliver & Company
-12.902976,-12.902976,Fish Hooks
12.7416315,12.7416315,Aladdin: The Return of Jafar
-8.888023,-8.888023,The Lizzie McGuire Movie
3.9292283,3.9292283,Inner Workings
13.146277,13.146277,Steamboat Willie
-8.416299,-8.416299,Race to Witch Mountain
7.0392785,7.0392785,Treasure Buddies
0.8977348,0.8977348,Mighty Med
-2.1121283,-2.1121283,Lou
